google_index,page_rank,web_traffic,nb_hyperlinks,length_url,status
0,5,2659943,174,72,0
0,2,1524695,235,33,0
0,6,684,130,40,0
1,5,0,21,61,1
0,4,0,139,51,0
0,6,400,102,44,0
1,1,0,6,259,1
1,0,0,48,57,1
0,3,361430,37,31,0
1,0,0,30,47,1
0,4,1407776,65,93,0
0,6,684,96,49,0
0,5,33537,373,22,0
0,5,1686483,96,45,0
1,4,0,26,105,1
0,0,0,81,109,1
0,2,0,3,40,0
1,5,134401,76,24,1
1,2,0,80,37,1
1,7,286,17,152,0
1,0,5707171,51,124,1
1,2,0,17,35,1
1,0,5707171,51,126,1
1,2,0,77,51,0
1,0,2576752,51,126,1
0,6,689,201,49,0
0,4,136805,51,46,0
0,10,8,127,31,0
0,6,2695,66,45,0
0,8,0,135,36,0
1,4,65403,79,56,0
1,5,6935,208,54,0
1,0,5707171,51,76,1
0,2,4019018,18,29,0
1,10,1,1,70,1
0,0,0,34,22,1
0,7,0,17,46,0
0,6,181,247,53,0
1,3,0,74,105,1
0,5,10053,1,64,0
0,4,500444,529,29,0
0,6,2112,50,47,0
1,0,2580873,37,126,1
0,8,0,71,37,0
0,6,1299,144,42,0
0,0,0,228,15,0
0,4,253010,0,44,0
0,4,974180,0,71,0
1,1,0,41,72,1
1,5,6897,141,48,0
0,5,0,169,29,0
0,7,3855,269,71,0
0,5,2384422,102,32,0
1,0,0,0,59,1
1,2,30484,1,55,1
0,0,0,14,26,0
1,2,0,0,32,1
0,4,1903447,84,34,0
1,2,4970516,54,115,0
1,3,4403,0,33,1
0,6,1309,75,74,0
1,2,0,30,77,1
0,3,0,184,18,0
0,5,436856,154,62,0
1,5,92162,9,56,0
1,5,0,0,53,1
0,5,8580,164,27,0
1,2,0,0,84,1
1,0,0,17,56,1
1,4,30,12,552,0
0,8,1103,120,110,0
1,0,0,88,102,1
0,3,458809,157,32,0
1,8,383,0,99,0
0,5,19025,160,19,0
0,4,817468,51,34,0
0,5,46690,115,103,0
1,2,9280076,0,45,1
0,5,0,14,31,1
0,4,57991,321,24,0
1,0,0,11,76,1
1,0,0,21,393,1
0,2,877707,32,45,1
0,2,354815,112,36,1
1,4,7751,4,409,1
1,1,277981,0,76,1
0,4,1618926,13,24,0
0,5,98267,56,49,0
1,5,122136,0,40,0
0,3,239843,54,29,0
1,0,6418275,12,22,1
0,7,433,201,34,0
1,0,0,45,121,1
1,7,2624,53,64,0
0,4,2505693,51,38,0
1,3,1592351,20,25,0
1,0,0,56,50,1
1,3,0,13,89,1
0,5,2190,98,58,0
0,5,0,148,29,0
0,2,0,95,30,0
1,6,6078,222,71,0
1,5,0,5,44,1
0,5,28754,78,58,0
0,8,0,112,56,0
1,0,0,0,42,1
0,5,37698,75,36,0
0,3,1715671,48,38,0
1,5,0,5,33,1
1,0,0,30,35,1
1,1,77586,47,47,1
0,2,4130164,231,26,0
1,4,5754,28,29,1
0,2,352628,29,32,0
0,4,7066606,0,67,0
0,4,942542,56,27,0
1,3,0,0,106,1
0,3,0,148,70,0
1,0,0,0,163,1
0,8,7720996,101,31,0
0,0,3101079,29,85,1
1,1,0,18,44,1
1,0,0,0,54,1
0,5,2414,106,54,0
0,1,1436826,293,29,0
0,7,4539,28,38,0
0,5,477177,408,20,0
0,4,501073,138,27,0
1,9,3523,11,22,1
0,7,617,118,63,0
1,4,1220306,72,73,0
1,2,0,30,81,1
1,2,0,5,216,1
1,10,1,10,83,1
0,4,528300,96,30,0
0,1,1195221,105,25,0
1,2,6064147,153,38,1
0,2,4044493,2,68,1
1,0,0,0,71,1
0,10,63,25,23,0
1,0,0,4,37,1
0,3,3078052,65,28,0
1,4,0,2,43,1
0,5,13779,73,36,0
0,0,0,38,50,1
1,5,0,29,44,1
1,0,5828815,4,128,1
0,4,431469,66,58,0
0,3,319620,10,66,0
1,0,0,0,241,1
0,6,684,96,44,0
0,2,0,65,18,0
1,0,0,0,39,1
0,7,195,1039,46,0
1,5,97555,1,51,1
0,1,0,62,25,0
0,8,0,61,37,0
0,6,8734,388,52,0
0,4,541226,93,26,0
0,2,239553,4,25,0
1,0,0,4,34,1
1,0,0,23,56,1
0,4,492072,30,32,0
1,2,0,0,26,1
1,2,0,30,77,1
1,2,0,0,57,1
1,5,5518403,22,59,1
1,0,0,123,102,1
1,2,0,46,39,1
0,0,0,26,35,0
0,0,0,98,28,1
1,5,0,14,30,1
0,5,5881,65,101,0
0,2,0,97,30,0
1,5,0,18,44,1
1,0,0,0,39,1
0,6,545,63,90,0
1,2,0,55,34,1
1,0,0,0,36,1
0,7,12,1171,37,0
0,5,317,257,39,0
1,3,0,5,42,1
1,0,0,66,48,1
1,0,0,25,75,1
0,3,968021,112,25,0
0,4,189942,37,50,0
1,2,2620554,0,92,1
1,5,0,14,31,1
0,2,0,1,25,0
1,1,481145,103,41,1
0,4,138987,11,22,0
1,0,0,0,76,1
0,5,6098,136,40,0
1,2,4669,203,51,1
0,4,575464,77,60,0
0,2,0,92,33,0
1,0,0,22,131,1
1,1,0,12,68,1
1,4,0,40,51,1
1,3,7716858,142,45,1
0,5,90969,47,67,0
0,4,3161182,45,24,0
1,1,0,1,92,1
1,2,1222496,103,34,1
1,6,767,302,54,0
1,5,0,14,40,1
0,7,1310,121,70,0
1,6,36284,6,18,1
1,0,5707171,51,126,1
0,3,878731,27,24,0
0,9,90,64,54,0
0,5,1671,273,66,0
0,2,0,102,29,0
1,1,45133,16,22,1
1,4,235023,65,78,0
1,0,0,0,98,1
0,3,2272,345,44,0
1,0,5707171,51,124,1
0,7,12,427,45,0
1,5,0,19,48,1
1,9,3514,82,28,1
0,5,10631,105,63,0
0,5,1650,225,58,0
1,5,0,18,51,1
0,3,83478,129,23,0
0,0,0,0,23,0
0,5,2188,73,58,0
1,6,383,58,54,1
1,0,0,21,392,1
1,3,11543,157,78,0
1,4,47859,128,57,0
1,5,0,21,46,1
1,5,0,83,43,1
0,3,10587379,0,51,1
1,2,6366077,121,53,1
1,2,0,4,57,1
0,5,164944,108,30,0
0,5,238599,0,46,0
1,0,0,20,192,1
0,4,39904,99,18,0
1,0,0,32,33,1
0,3,3198682,3,22,0
0,4,3156171,224,28,0
0,4,0,366,28,0
1,0,0,4,77,1
1,2,0,0,64,1
0,5,186860,66,58,0
0,5,28448,87,47,1
0,3,3012018,62,17,0
0,6,5561,160,68,0
0,3,7683629,349,21,0
1,0,0,10,172,1
0,1,3802734,59,19,0
1,2,69572,5,50,1
1,5,0,22,58,1
1,5,0,0,78,1
1,6,8913,38,61,0
0,3,1684103,71,28,0
0,0,0,72,21,0
0,5,969,41,44,0
1,5,0,48,46,0
1,0,0,26,32,1
1,1,77586,47,34,1
1,0,0,18,187,1
1,2,4436986,15,66,1
1,3,17964,1,70,1
1,3,549875,0,25,1
1,6,386,58,54,1
0,2,426586,65,42,0
0,5,197818,68,62,0
1,2,0,30,77,1
1,0,0,3,74,1
1,0,5707171,51,128,1
1,0,5697976,51,123,1
0,5,78752,12,43,0
0,4,229749,163,29,0
0,4,52421,35,91,0
0,2,9128298,880,25,0
1,4,378322,12,103,0
0,0,0,25,24,0
1,0,0,9,260,1
1,0,7947816,0,163,1
1,6,348,146,49,0
0,4,1421754,11,25,0
1,5,0,10,34,1
1,1,0,16,70,1
1,0,0,0,44,1
0,3,819233,1,76,1
0,3,1882458,19,21,0
0,0,0,30,65,0
0,2,106157,4,35,0
0,5,7962,164,53,0
1,0,0,15,77,1
0,3,402341,128,25,0
1,0,0,10,229,1
0,5,7863,19,43,0
1,2,0,0,71,1
1,0,0,4,49,1
1,2,0,0,44,1
0,2,11475,28,66,0
1,0,0,103,56,1
1,4,49662,215,39,1
1,3,2272,322,42,0
0,4,846675,43,24,0
0,2,71037,25,31,0
0,6,11068,146,113,0
1,10,1,29,113,1
0,7,12,1768,33,0
0,3,1217435,17,29,0
1,8,385,0,81,0
1,8,0,0,30,1
1,3,0,6,49,1
0,7,285,17,60,0
1,1,45133,16,22,1
1,1,0,6,260,1
1,2,0,86,47,1
0,2,2729451,28,32,0
0,3,14198,59,21,0
0,6,6798,27,38,0
0,0,0,0,33,1
1,2,1695125,103,31,1
1,2,0,10,37,1
1,0,0,28,86,1
1,0,5697976,51,126,1
1,5,23196,54,87,0
0,1,1249366,20,25,1
1,5,0,21,53,1
0,5,14592,169,45,0
1,0,0,8,154,1
0,10,8,53,40,0
1,6,22211,8,38,1
0,3,1573272,91,28,0
1,2,461958,28,31,1
1,3,0,258,58,0
0,4,22855,17,18,0
1,0,5707171,51,76,1
1,2,0,30,77,1
1,4,433072,7,95,1
0,4,158628,76,27,0
1,0,0,0,56,1
0,3,0,93,30,0
1,10,173,50,39,0
1,0,0,7,48,1
1,1,0,0,36,1
1,4,0,5,85,1
0,5,767,55,46,0
0,4,14353,84,96,0
1,5,0,13,31,1
0,5,8126,51,72,0
0,5,0,209,41,0
1,0,0,0,439,1
1,3,0,20,44,1
1,4,0,416,73,0
1,5,0,14,32,1
0,4,8438897,0,42,0
1,0,0,0,38,1
0,5,126204,31,48,0
1,0,0,45,19,1
1,6,383,58,54,1
1,0,5828815,4,116,1
1,0,0,33,101,1
1,2,0,579,48,1
1,6,607,247,57,0
0,3,9127641,93,21,0
1,0,5707171,51,120,1
0,2,4808269,277,25,0
1,0,0,8,32,1
0,3,1311383,105,25,0
1,2,0,185,111,1
1,3,4365,8,66,1
1,3,0,80,48,1
1,2,315959,0,23,1
1,0,5816617,4,127,1
0,2,4231178,241,24,0
1,0,0,5,47,1
0,5,0,228,46,0
0,5,1577,140,69,0
0,5,0,145,37,0
1,0,0,17,63,1
0,3,1271150,62,30,0
1,5,487846,125,43,0
1,0,0,12,32,1
0,5,26730,85,50,0
0,3,2320,921,44,0
0,3,1092378,52,27,0
1,4,0,26,105,1
1,1,921397,35,45,1
1,5,0,13,32,0
0,6,2619,66,57,0
0,5,927106,171,21,0
1,0,0,88,155,1
1,0,0,4,21,1
1,0,3396059,78,47,1
1,0,0,0,36,1
0,2,7686483,11,65,0
0,2,0,56,23,0
1,5,0,11,46,1
0,5,244228,126,31,0
1,1,0,0,54,1
0,8,971074,106,30,0
1,5,31104,168,63,0
0,3,3688278,61,65,0
1,2,4639,33,65,1
1,0,0,9,136,1
0,6,56198,36,45,1
1,1,1429135,0,48,1
0,4,537694,26,29,0
1,0,0,10,44,1
0,6,2603,59,48,0
0,4,101800,34,24,0
0,0,7891419,82,22,0
1,4,2072852,19,41,0
1,0,0,0,73,1
1,0,0,47,69,1
0,5,2048336,103,29,0
0,5,48945,76,57,0
0,1,348969,18,46,0
1,0,5707171,51,124,1
1,5,0,14,30,1
0,2,0,0,66,0
1,0,0,9,69,1
0,5,506791,53,98,0
0,5,18867,276,63,0
1,0,0,86,37,1
1,1,0,8,28,0
1,5,0,21,61,1
0,4,3677754,26,51,0
0,3,1482268,23,31,0
0,3,1215453,64,21,0
1,4,10675927,18,101,1
1,2,0,0,26,1
1,0,5008870,78,77,1
0,2,852476,333,28,0
1,0,0,86,69,1
0,3,1017069,438,34,0
1,0,2954670,6,46,1
0,4,8416744,26,31,0
0,7,289,17,121,0
1,5,0,18,66,1
1,0,0,5,53,1
0,2,4098901,41,22,0
0,8,0,44,30,0
0,4,787413,0,59,0
1,4,0,77,53,1
0,3,4279566,13,22,0
1,0,0,15,24,1
0,2,416867,64,28,0
1,7,609,67,71,0
0,5,126063,13,37,0
0,2,6606150,255,27,0
1,3,708325,597,21,0
0,4,94950,250,62,0
1,0,1428403,103,29,1
1,10,1,10,70,1
1,2,0,50,110,1
0,5,27571,390,46,0
1,2,242805,133,53,0
1,10,1,30,99,1
0,2,97339,32,26,0
0,6,133,168,63,0
1,9,3504,8,32,1
0,5,28448,79,53,0
0,7,7971,9,74,0
0,0,0,9,31,1
0,6,1540,263,45,0
1,0,0,23,50,1
0,8,216,419,83,0
1,1,0,6,167,1
1,5,0,14,29,1
1,1,0,0,41,1
0,5,9753,340,54,0
1,5,635,38,77,0
0,3,8541,171,54,0
0,5,105224,94,51,0
0,2,2367247,56,28,0
1,5,0,21,40,1
1,5,0,14,42,1
0,7,12,239,49,0
1,0,0,1,77,1
1,0,2580873,51,127,1
1,2,4639,33,47,1
1,4,75,13,102,1
1,4,0,5,262,1
0,5,46785,180,48,0
0,5,0,135,56,0
1,5,28405,78,60,0
0,7,12,445,34,0
1,8,50,55,43,0
1,5,0,21,40,1
1,5,0,21,56,1
1,0,0,3,75,1
1,2,4669,160,40,1
0,5,1236528,125,36,0
1,0,5816617,4,127,1
0,5,206575,52,21,0
0,8,0,21,35,0
1,6,22211,8,40,1
0,5,55983,43,51,0
1,6,12364,165,72,0
0,2,0,80,24,0
1,0,0,86,71,1
1,1,491854,103,55,1
1,5,68260,22,120,1
0,2,2482377,0,99,0
1,7,632001,0,56,1
1,5,0,21,60,1
0,5,1407,301,42,0
1,2,10269929,166,238,1
1,1,51291,68,183,1
0,7,285,17,246,0
0,8,0,45,34,0
0,10,1,108,54,1
0,3,2010529,25,55,0
1,1,0,0,53,0
0,5,0,169,33,0
0,3,0,59,25,0
0,5,2605916,92,36,0
1,3,2500970,52,93,0
0,1,0,0,29,1
0,3,0,117,40,0
1,0,0,3,163,1
0,4,3833065,54,27,0
1,5,0,22,58,1
1,5,7807,198,60,0
1,2,0,30,77,1
0,6,682,226,43,0
1,7,632751,0,47,1
0,2,178033,59,17,0
1,0,0,21,37,1
0,3,159206,374,24,0
0,1,374374,162,22,0
0,5,14284,837,51,0
1,5,0,18,66,1
0,3,1101455,238,27,0
1,4,421761,34,30,1
1,5,82896,0,52,0
0,2,0,5,25,0
0,4,2791701,56,32,0
1,4,0,26,136,1
0,3,976662,157,31,0
0,3,113447,21,31,0
1,0,0,22,51,1
1,0,0,24,163,1
0,2,2239561,140,31,0
1,3,17964,1,266,1
1,0,0,4,61,1
1,1,0,56,41,1
1,3,477134,41,54,1
0,5,62106,75,31,0
0,8,41,214,91,0
1,0,0,0,53,1
1,5,0,18,83,1
1,4,4422,0,76,0
1,0,0,13,71,1
1,5,0,11,45,1
1,0,0,0,34,1
1,0,0,0,28,1
1,5,0,22,55,1
0,3,217264,139,30,0
0,4,115937,33,23,0
0,2,2579543,4,23,0
0,0,0,0,33,1
1,4,187079,18,68,1
1,0,2954670,6,45,1
1,0,0,0,53,1
1,0,5707171,51,118,1
0,0,3513635,19,74,0
1,0,0,46,49,1
0,8,3945616,63,115,0
0,4,260730,259,20,0
1,0,0,7,35,1
1,1,0,27,59,1
1,0,0,38,70,1
1,0,0,4,105,1
1,2,0,22,92,1
1,0,0,23,49,1
0,6,1116,46,63,0
1,3,0,0,62,1
0,3,6084468,64,38,0
0,4,45566,92,34,0
1,2,0,2,67,1
0,2,584195,134,19,0
1,0,0,4,66,1
1,0,0,5,75,1
1,0,0,0,117,1
1,0,0,7,22,1
1,1,989825,4,91,1
0,4,542185,234,63,0
1,0,5707171,51,128,1
1,1,0,17,52,1
0,0,718185,25,15,0
0,6,2074,37,41,0
0,5,21772,437,35,0
1,0,0,0,32,1
1,7,309382,4,25,1
0,7,12,570,50,0
0,3,7096725,57,33,0
1,2,0,0,83,1
0,3,1512801,6,23,0
0,4,4242,250,73,0
1,1,60762,11,18,1
0,8,0,116,34,0
1,1,0,5,40,1
1,0,0,23,29,1
1,0,5816617,4,119,1
1,10,1,10,82,1
1,2,0,23,47,1
0,3,4640560,144,27,0
1,3,2294,67,44,0
1,3,17964,1,49,1
1,5,11507,185,67,0
1,0,0,0,28,1
0,5,7989,135,49,0
1,2,0,5,29,1
1,0,0,120,159,1
0,1,133791,149,21,1
1,1,0,22,197,1
1,0,5816617,4,126,1
0,3,282959,0,25,0
0,6,9410,53,89,0
0,4,272349,123,76,0
0,3,1327039,46,29,0
1,5,0,21,68,1
1,0,0,13,40,1
1,5,5703,105,54,0
1,5,0,15,37,1
0,2,75385,11,28,0
1,3,4365,8,44,1
1,0,5707171,51,128,1
0,10,8,71,36,0
0,4,265564,68,35,0
1,0,0,0,47,1
1,0,0,9,40,1
0,5,0,209,33,0
1,1,0,43,28,1
1,5,0,24,27,1
0,4,123397,323,39,0
1,6,771,486,40,0
1,0,0,1,29,1
0,3,466636,117,27,0
0,6,2816511,149,25,0
1,0,0,7,243,1
1,5,0,35,50,1
0,6,112,86,30,0
0,5,136316,103,60,0
1,5,0,22,72,1
1,2,0,30,77,1
0,5,33089,29,30,0
1,5,0,13,34,1
0,1,8669000,33,27,0
0,2,0,5,35,0
0,5,0,28,40,0
1,2,5403,11,32,1
1,5,0,21,47,1
1,2,0,22,98,1
0,1,0,201,22,0
0,6,14668,97,66,0
1,0,0,13,32,1
1,0,0,163,20,1
1,0,8687032,45,21,1
0,4,343984,213,48,0
1,5,0,83,51,1
0,4,12559,44,34,0
0,5,2190,101,62,0
0,4,0,0,57,0
1,5,27235,395,83,0
0,4,3012424,293,33,0
